obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.6099963,223,106,30,76.03906
0.3401315,190,154,73,51.91016
0.4591577,201,204,56,124.1602
0.4972815,166,222,50,65
0.5911827,221,171,43,10.58984
0.7770124,214,118,37,46.67969
0.7273316,105,155,43,16.5
0.2546062,122,252,67,122.4102
0.9071855,219,187,34,66.71875
0.6960891,157,204,42,137.9199
0.9860857,221,151,78,226.709
0.8373984,107,178,60,47.46875
0.6707972,196,105,37,217.2305
0.6296027,249,228,72,95.78906
0.7791765,102,165,78,341.8086
0.6203269,206,165,34,327.0391
0.2834997,199,146,57,83.5918
0.3488162,139,160,46,52.53906
0.3622811,251,113,50,68.26996
0.4339209,196,234,79,76.48994
0.7421479,104,240,44,60.54996
0.7507253,105,134,38,55.06995
0.1771154,204,242,57,60.92996
0.4183248,206,248,55,84.54993
0.869005,244,164,72,8.419983
0.9772298,152,171,67,12.45001
0.3888302,131,153,55,93.36993
0.5547134,132,244,47,20.39001
0.362623,148,124,38,119.4199
0.8507949,184,163,68,128.0399
0.3417006,187,126,56,127.9199
0.2263811,113,124,79,105.2499
0.6368847,247,136,53,294.1798
0.2098279,254,232,78,26.65997
0.7586209,231,192,39,80.04993
0.7854106,232,100,86,129.87
0.7223478,144,146,64,91.22998
0.6552631,229,192,57,156.9399
0.2563576,133,204,71,79.70996
0.3164886,185,101,38,13.57996
0.9831418,204,160,75,20.44
0.8742554,175,148,58,57.48999
0.9649788,244,100,68,12.29004
0.2000845,215,247,89,22.63989
0.2797192,148,123,83,84
0.3942828,101,102,75,20.47998
0.2148343,117,151,76,93.74976
0.9879177,225,213,66,365.7
0.2624442,232,235,88,54.82983
0.5124795,232,185,58,50.05981
0.8686203,167,118,61,175.5298
0.6741362,206,175,55,564.6997
0.2318361,139,168,42,14.8999
0.2675151,143,109,31,33.56982
0.2749778,148,128,33,20.66016
0.5714787,106,149,37,50.16992
0.3725436,222,123,73,49.61963
0.5843607,171,183,54,194.3799
0.9142005,117,205,39,65.12988
0.5660031,128,176,42,41.77997
0.8206089,149,207,70,600.6596
0.692654,233,144,57,11.12994
0.4198937,248,252,85,62.81
0.3574464,135,203,52,63.88995
0.3977534,202,193,57,148.66
0.8905487,117,132,60,134.2699
0.8199576,184,154,40,124.2799
