obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.2163014,105,182,36,77.85938
0.27407,236,109,83,36.75
0.6923479,189,132,34,121.5156
0.2496526,243,128,59,92.74219
0.626406,187,196,49,102.1172
0.7819114,125,107,65,182.3672
0.1463017,254,146,35,32.69531
0.5573592,221,143,56,16.66406
0.9126717,250,169,72,16.03125
0.7265104,197,125,85,980.6719
0.8705448,169,170,34,18.61719
0.3929231,105,163,62,57.03906
0.4879543,162,200,76,12.84375
0.3517862,162,144,62,166.7266
0.2227576,158,242,40,37.15625
0.954949,171,192,37,713.4219
0.6763346,194,210,62,174.4766
0.2323324,129,173,33,25.64844
0.4596776,114,116,60,106.6797
0.5964969,153,121,38,44.53125
0.6840084,198,168,38,27.49219
0.5230419,240,149,41,67.61719
0.547891,174,177,59,65.13281
0.9296386,116,110,46,25.24219
0.4756087,234,155,58,24.77344
0.7447262,230,196,43,174.5625
0.7300534,123,208,84,16.85938
0.6348095,227,149,75,129.2109
0.8840799,165,196,31,241.6328
0.3918712,214,127,32,171.2578
0.1727332,197,197,68,42.17188
0.3499671,172,251,39,32.84375
0.2658677,159,134,86,31.16406
0.4838647,138,120,55,96.10938
0.7176806,156,168,83,43.71094
0.2389113,136,148,39,120
0.156594,106,129,72,81.79688
0.3564622,165,190,45,68.09375
0.3342658,212,110,71,53.39063
0.9588085,125,171,72,61.53125
0.1792201,161,141,49,14.88281
0.4498745,235,154,72,276.4297
0.3222411,162,239,46,12.71094
0.9240377,176,140,78,104.3438
0.1896311,144,152,64,18.34375
0.5318975,134,155,63,101.4219
0.5106941,203,114,81,14
0.2596159,130,165,62,143.3359
0.8071868,223,112,73,91.45313
0.6024085,199,134,31,56.42969
0.6891172,115,103,44,17.77344
0.7070879,111,196,61,316.125
0.2746942,183,123,85,126.8906
0.5951676,169,181,75,150.2266
0.4730312,205,225,46,32.24219
0.1578718,229,169,48,56.82031
0.2694242,231,247,34,22.00781
0.7304,233,115,71,26.96094
0.8716596,105,164,48,105.375
0.4323916,220,194,58,34.39063
0.1769241,194,199,71,41.70313
0.287003,137,100,54,73.875
0.2686513,219,116,78,79.70313
0.4990766,104,176,55,45.40625
0.7568634,243,190,71,169.9141
0.1909887,165,236,84,27.82031
0.742461,229,124,34,23.48438
0.7419767,250,192,52,26.21875
0.2024671,138,231,33,96.29688
0.9493822,242,138,40,61.73438
0.5515825,235,213,88,275.2813
0.1874436,147,149,45,81.73438
0.1666108,140,128,38,33.35156
0.8788456,102,217,89,290.9844
